,rd,RT,Fs,nNodes,d_intersensor,x,y,z,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
h_sn 1,,,,,,,,,0.0,0.0,0.006226850875568461,-0.0007897982399937539,-0.0002544782183634436
h_sn 1,,,,,,,,,0.0,0.0,-0.0041994681027465765,0.0012132053531460228,0.00033734782538940417
h_sn 1,,,,,,,,,0.0,0.0,0.0030740173248063464,-0.0024149041578315406,-0.0004384421940625675
h_sn 1,,,,,,,,,0.0,0.0,-0.0023448488816794817,0.05131069735103164,0.0005621409040836368
h_sn 1,,,,,,,,,0.0,0.0,0.0018269565657850902,0.002671007314851439,-0.0007150774021206669
h_sn 1,,,,,,,,,0.0,0.0,-0.0014368601059506492,-0.0012782516643881985,0.0009078526199941946
h_sn 1,,,,,,,,,0.0,0.0,0.0011315164983848826,0.0008194993569108943,-0.0011585172719547363
h_sn 1,,,,,,,,,0.0,0.0,-0.0008865568020971292,-0.000585895752881432,0.0015003966242707332
h_sn 1,,,,,,,,,0.0,0.0,0.0006871728617407083,0.0004415080093961639,-0.0020022407135300885
h_sn 1,,,,,,,,,0.0,0.0,-0.0005238322777872538,-0.00034188854098009036,0.00283143771998746
h_sn 1,,,,,,,,,0.0,0.0,0.00039007945778574387,0.00026824948944987345,-0.004527137948430897
h_sn 1,,,,,,,,,0.0,0.0,-0.0002813276839157823,-0.00021131351933531707,0.010304858176461009
h_sn 1,,,,,,,,,0.0,0.0,0.00019415893635878084,0.00016598931901009212,0.04315443504706938
h_sn 1,,,,,,,,,0.0,0.0,-0.00012590054819068168,-0.00012925688907819953,-0.00693238114635378
h_sn 1,,,,,,,,,0.0,0.0,7.436091322651547e-05,9.921099898016052e-05,0.00369326940297589
h_sn 1,,,,,,,,,0.0,0.0,-3.766079389494655e-05,-7.458464436504218e-05,-0.002452532140888737
h_sn 1,,,,,,,,,0.0,0.0,1.4124392538973388e-05,5.4493280520242704e-05,0.0017820741987700926
h_sn 1,,,,,,,,,0.0,0.0,0.0,-3.8289263995323187e-05,-0.0013541688422917149
h_sn 1,,,,,,,,,0.0,0.0,0.0,2.547509561829523e-05,0.0010530759973210113
h_sn 1,,,,,,,,,-1.3092269060698943e-06,0.0,0.0,-1.564983279177174e-05,-0.0008276561084915634
h_sn 1,,,,,,,,,6.874436329909034e-06,0.0,0.0,8.475124152099453e-06,0.0006519098264711043
h_sn 1,,,,,,,,,-1.7377361817405856e-05,0.0,0.0,-3.65334201517822e-06,-0.000511267480630704
h_sn 1,,,,,,,,,3.346873620993801e-05,0.0,0.0,9.134472235583483e-07,0.0003969462207896667
