,rd,alpha,Fs,x,y,z,Node 1,Node 2,Node 3,Node 4,Node 5
0,3.8543695870667647,0.3934387869643227,16000.0,,,,,,,,
1,4.927282406805694,0.3934387869643227,16000.0,,,,,,,,
2,5.701910084725027,0.3934387869643227,16000.0,,,,,,,,
Source 1,,,,3.072279850025186,2.276945865010689,0.5111652718434628,,,,,
Source 2,,,,0.2729909546115302,0.49255862439653936,2.81601867097569,,,,,
Noise 1,,,,0.22435933125411925,1.8559525292115946,3.860024215663224,,,,,
Noise 2,,,,0.9926967946144482,4.731265941951954,5.564604658101807,,,,,
Noise 3,,,,3.845783790742802,4.7796465551499825,1.5405966348069493,,,,,
Node 1,,,,0.6883886068139747,1.190250757735617,1.4056759854943541,,,,,
Node 2,,,,0.21170366637151125,4.6433332049494265,1.5623019844138484,,,,,
Node 3,,,,2.214858343467685,3.7601264027498726,1.8859183811947837,,,,,
Node 4,,,,2.9796796588931715,1.4268788201101439,1.1704213525558769,,,,,
Node 5,,,,0.0954854872425013,2.164596786581709,0.17737456607113886,,,,,
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-3.251174899057945e-06,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,2.314057328405051e-05,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-5.814176647807004e-05,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,9.480550869942624e-05,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.00010965137189020312,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,7.298688049238363e-05,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,4.484910365233121e-05,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.00026575489841570987,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0005959402857452428,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.0010191993365783307,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.001492552054800523,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.0019448433076289416,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.002277887461676171,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.002368100283887375,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0020633758642989745,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.0011617884603836025,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.0006696696140298166,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0042130302397314495,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.012454453553042475,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.061169714070721734,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.040026531105113804,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.01562565632587646,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.008704725247238634,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.004959986057093908,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.002506179047414594,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.0008290443088072595,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.00027435222113199315,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0009215485504729037,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,-0.0012091119831846233,0.0
