,0,1,2,3,4
y,3.6675101715204823,14.20089346152615,13.926083936451569,26.554833867299784,16.932020181675583
dhat,34.88305521398824,29.94454034458454,29.430356778307075,40.997639743436665,32.20137753104752
imp,31.21554504246776,15.743646883058389,15.504272841855506,14.44280587613688,15.269357349371937
