,rd,alpha,Fs,nNodes,d_intersensor,x,y,z,Node1Sensor1,Node2Sensor1
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
h_sn1,,,,,,,,,0.0,
