,rd,alpha,Fs,x,y,z,Node 1,Node 2,Node 3,Node 4,Node 5
0,3.5716686022298862,0.7831091278899137,16000.0,,,,,,,,
1,3.307498634321431,0.7831091278899137,16000.0,,,,,,,,
2,5.557331880642771,0.7831091278899137,16000.0,,,,,,,,
Source 1,,,,0.6184936740552489,1.6025066491802464,0.527280307459431,,,,,
Source 2,,,,1.6896267784467816,0.5077721604649221,4.062635647408283,,,,,
Noise 1,,,,1.1386709135665767,3.2952658726076627,4.17482521096583,,,,,
Node 1,,,,2.074650724051035,2.5905728160903423,1.1290767852298782,,,,,
Node 2,,,,0.38738691500214373,2.873977335613404,2.9167638789102384,,,,,
Node 3,,,,0.8142105050091232,2.0463810083846417,1.8721810062614095,,,,,
Node 4,,,,2.312309683162289,0.36760292351454626,2.270048436719115,,,,,
Node 5,,,,1.3462115599576245,2.1357622188690333,3.980076836658048,,,,,
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
