         4310950 function calls (4216646 primitive calls) in 6.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.007    0.002    0.007    0.002 {built-in method sizeHint}
      614    0.006    0.000    0.115    0.000 lines.py:744(draw)
   1610/7    0.006    0.000    1.144    0.163 artist.py:33(draw_wrapper)
      150    0.006    0.000    0.006    0.000 {built-in method nt.stat}
     5990    0.006    0.000    0.006    0.000 {method 'copy' of 'numpy.ndarray' objects}
70290/69134    0.006    0.000    0.006    0.000 {built-in method builtins.len}
      311    0.006    0.000    0.048    0.000 lines.py:276(__init__)
      294    0.006    0.000    0.006    0.000 {method 'load_glyph' of 'matplotlib.ft2font.FT2Font' objects}
     2334    0.006    0.000    0.009    0.000 font_manager.py:697(__hash__)
     8001    0.006    0.000    0.102    0.000 <__array_function__ internals>:2(mean)
     1019    0.006    0.000    0.009    0.000 __init__.py:1726(normalize_kwargs)
    20077    0.005    0.000    0.007    0.000 __init__.py:1879(_str_equal)
    18590    0.005    0.000    0.009    0.000 __init__.py:1420(debug)
      747    0.005    0.000    0.009    0.000 artist.py:99(__init__)
      681    0.005    0.000    0.539    0.001 text.py:287(_get_layout)
     1963    0.005    0.000    0.006    0.000 transforms.py:207(set_children)
     8831    0.005    0.000    0.075    0.000 <__array_function__ internals>:2(amin)
        3    0.005    0.002    0.132    0.044 backend_qt5.py:647(__init__)
      324    0.005    0.000    0.022    0.000 lines.py:660(recache)
    33632    0.005    0.000    0.005    0.000 {function RcParams.__getitem__ at 0x000002656DB46940}
1567/1034    0.005    0.000    0.019    0.000 transforms.py:2401(get_affine)
    25180    0.005    0.000    0.023    0.000 {built-in method builtins.next}
    55547    0.005    0.000    0.005    0.000 inspect.py:2551(kind)
     1577    0.005    0.000    0.011    0.000 transforms.py:780(__init__)
      770    0.005    0.000    0.025    0.000 font_manager.py:638(__init__)
    10817    0.005    0.000    0.005    0.000 fromnumeric.py:70(<dictcomp>)
    33058    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
     4918    0.004    0.000    0.007    0.000 pyparsing.py:1780(set)
    41158    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     4221    0.004    0.000    0.007    0.000 __init__.py:259(process)
     2929    0.004    0.000    0.011    0.000 transforms.py:1867(__init__)
     5163    0.004    0.000    0.007    0.000 transforms.py:1750(__init__)
       13    0.004    0.000    0.004    0.000 {built-in method io.open_code}
      454    0.004    0.000    0.532    0.001 text.py:864(get_window_extent)
3555/1478    0.004    0.000    0.005    0.000 transforms.py:180(_invalidate_internal)
      102    0.004    0.000    0.091    0.001 axis.py:57(__init__)
      116    0.004    0.000    0.032    0.000 ticker.py:2202(_raw_ticks)
      140    0.004    0.000    0.004    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        4    0.004    0.001    0.019    0.005 backend_pdf.py:564(_get_pdf_charprocs)
     8058    0.004    0.000    0.004    0.000 transforms.py:107(__init__)
       16    0.004    0.000    0.005    0.000 {built-in method builtins.print}
   780/30    0.004    0.000    0.010    0.000 sre_compile.py:71(_compile)
    16742    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
    25374    0.004    0.000    0.004    0.000 artist.py:822(get_animated)
    28698    0.004    0.000    0.004    0.000 numeric.py:421(_count_nonzero_dispatcher)
     2585    0.004    0.000    0.004    0.000 contextlib.py:82(__init__)
     5400    0.003    0.000    0.006    0.000 {built-in method builtins.any}
       24    0.003    0.000    0.003    0.000 {built-in method addAction}
    38474    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
    28672    0.003    0.000    0.003    0.000 linalg.py:1800(_matrix_rank_dispatcher)
       52    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
        9    0.003    0.000    0.087    0.010 image.py:307(_make_image)
    18590    0.003    0.000    0.003    0.000 __init__.py:1685(isEnabledFor)
    28672    0.003    0.000    0.003    0.000 linalg.py:1478(_svd_dispatcher)
     1144    0.003    0.000    0.261    0.000 font_manager.py:1248(findfont)
       42    0.003    0.000    0.003    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     1248    0.003    0.000    0.004    0.000 backend_pdf.py:97(fill)
      612    0.003    0.000    0.009    0.000 backend_bases.py:751(__init__)
  2419/23    0.003    0.000    0.073    0.003 pyparsing.py:4460(parseImpl)
       46    0.003    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
       37    0.003    0.000    0.008    0.000 {built-in method builtins.sum}
        1    0.003    0.003    0.003    0.003 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
     1399    0.003    0.000    0.004    0.000 __init__.py:64(check_isinstance)
     5141    0.003    0.000    0.004    0.000 __init__.py:100(check_in_list)
        2    0.003    0.001    0.003    0.001 {restoreOverrideCursor}
        1    0.003    0.003    0.003    0.003 parsers.py:1853(__init__)
       64    0.003    0.000    0.191    0.003 axis.py:1023(_update_ticks)
    18525    0.003    0.000    0.003    0.000 font_manager.py:1160(score_style)
      251    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
    11597    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
       10    0.003    0.000    0.019    0.002 colors.py:588(__call__)
     1442    0.003    0.000    0.006    0.000 pyparsing.py:946(copy)
      418    0.003    0.000    0.005    0.000 transforms.py:650(translated)
     2109    0.003    0.000    0.003    0.000 {method 'compress' of 'zlib.Compress' objects}
     2369    0.003    0.000    0.011    0.000 colors.py:178(to_rgba)
     2264    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    20859    0.003    0.000    0.003    0.000 font_manager.py:748(get_stretch)
     4137    0.003    0.000    0.008    0.000 artist.py:356(pchanged)
    29275    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
    28469    0.002    0.000    0.002    0.000 inspect.py:2539(name)
    16384    0.002    0.000    0.002    0.000 numeric.py:847(_outer_dispatcher)
     2585    0.002    0.000    0.008    0.000 contextlib.py:117(__exit__)
     6864    0.002    0.000    0.005    0.000 font_manager.py:1304(<genexpr>)
    18525    0.002    0.000    0.002    0.000 font_manager.py:1224(score_size)
      766    0.002    0.000    0.003    0.000 font_manager.py:813(set_weight)
     1379    0.002    0.000    0.005    0.000 __init__.py:907(get_siblings)
        3    0.002    0.001    0.002    0.001 {built-in method gc.collect}
      187    0.002    0.000    0.004    0.000 backend_pdf.py:2517(delta)
      713    0.002    0.000    0.010    0.000 markers.py:296(_set_marker)
    20859    0.002    0.000    0.002    0.000 font_manager.py:714(get_family)
    16364    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
        2    0.002    0.001    0.002    0.001 collections.py:774(set_facecolor)
     3221    0.002    0.000    0.002    0.000 pyparsing.py:554(__init__)
     2946    0.002    0.000    0.010    0.000 artist.py:82(_stale_axes_callback)
  1000/37    0.002    0.000    0.078    0.002 pyparsing.py:4049(parseImpl)
      944    0.002    0.000    0.027    0.000 transforms.py:1447(transform)
      116    0.002    0.000    0.009    0.000 ticker.py:884(_set_format)
     2941    0.002    0.000    0.009    0.000 colors.py:132(_is_nth_color)
     3293    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    20859    0.002    0.000    0.002    0.000 font_manager.py:733(get_variant)
      160    0.002    0.000    0.002    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    18525    0.002    0.000    0.002    0.000 font_manager.py:756(get_size)
     2959    0.002    0.000    0.033    0.000 re.py:289(_compile)
        4    0.002    0.001    0.002    0.001 {method 'getcolors' of 'ImagingCore' objects}
    18525    0.002    0.000    0.002    0.000 font_manager.py:1177(score_variant)
       96    0.002    0.000    0.002    0.000 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
     3397    0.002    0.000    0.004    0.000 enum.py:313(__call__)
     1019    0.002    0.000    0.002    0.000 __init__.py:1791(<dictcomp>)
    20859    0.002    0.000    0.002    0.000 font_manager.py:726(get_style)
   789/42    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
      681    0.002    0.000    0.009    0.000 text.py:834(get_prop_tup)
      160    0.002    0.000    0.003    0.000 {built-in method matplotlib._path.convert_to_string}
    20859    0.002    0.000    0.002    0.000 font_manager.py:739(get_weight)
        4    0.002    0.000    0.002    0.001 backend_agg.py:85(__init__)
      142    0.002    0.000    0.002    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        3    0.002    0.001    0.002    0.001 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      897    0.002    0.000    0.005    0.000 transforms.py:2311(__init__)
    10180    0.002    0.000    0.003    0.000 pyparsing.py:2599(__hash__)
      781    0.002    0.000    0.021    0.000 fromnumeric.py:38(_wrapit)
        3    0.002    0.001    0.093    0.031 backend_qt5.py:211(__init__)
      106    0.002    0.000    0.003    0.000 _base.py:2763(_get_axis_map)
