         4310950 function calls (4216646 primitive calls) in 6.463 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/7    0.000    0.000    0.001    0.000 gridspec.py:145(get_grid_positions)
      316    0.000    0.000    0.001    0.000 lines.py:632(axes)
      102    0.000    0.000    0.001    0.000 axis.py:212(apply_tickdir)
        3    0.000    0.000    0.000    0.000 {built-in method addToolBar}
      510    0.000    0.000    0.002    0.000 axis.py:343(_set_artist_props)
        7    0.000    0.000    1.144    0.163 figure.py:2766(draw)
      947    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
   133/60    0.000    0.000    0.071    0.001 pyparsing.py:4686(parseImpl)
       99    0.000    0.000    0.000    0.000 helper.py:112(_fix_shape)
      599    0.000    0.000    0.001    0.000 transforms.py:1754(__array__)
      902    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        3    0.000    0.000    0.001    0.000 enum.py:157(__new__)
      342    0.000    0.000    0.001    0.000 backend_bases.py:973(set_joinstyle)
      128    0.000    0.000    0.012    0.000 ticker.py:260(format_ticks)
       24    0.000    0.000    0.000    0.000 {built-in method setToolTip}
       60    0.000    0.000    0.001    0.000 transforms.py:645(padded)
      127    0.000    0.000    0.001    0.000 transforms.py:374(width)
       99    0.000    0.000    0.001    0.000 axis.py:1651(set_minor_locator)
      976    0.000    0.000    0.000    0.000 stride_tricks.py:540(<genexpr>)
       66    0.000    0.000    0.009    0.000 axis.py:1322(_copy_tick_props)
      361    0.000    0.000    0.002    0.000 fromnumeric.py:3220(around)
       64    0.000    0.000    0.009    0.000 axis.py:1070(<listcomp>)
      564    0.000    0.000    0.001    0.000 axis.py:735(get_transform)
       88    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.OrderedDict' objects}
      361    0.000    0.000    0.004    0.000 <__array_function__ internals>:2(round_)
       32    0.000    0.000    0.001    0.000 path.py:599(get_extents)
      122    0.000    0.000    0.000    0.000 _backend_pdf_ps.py:40(track)
       15    0.000    0.000    0.014    0.001 backend_bases.py:1444(__init__)
     1176    0.000    0.000    0.000    0.000 _base.py:769(<genexpr>)
       57    0.000    0.000    0.001    0.000 offsetbox.py:48(_get_packed_offsets)
      311    0.000    0.000    0.001    0.000 lines.py:1372(set_solid_capstyle)
       96    0.000    0.000    0.000    0.000 axis.py:813(reset_ticks)
       99    0.000    0.000    0.005    0.000 ticker.py:2086(__init__)
      534    0.000    0.000    0.001    0.000 transforms.py:1330(_iter_break_from_left_to_right)
      634    0.000    0.000    0.000    0.000 {built-in method math.cos}
       99    0.000    0.000    0.000    0.000 helper.py:80(_asfarray)
        2    0.000    0.000    0.011    0.005 _axes.py:2136(bar)
      232    0.000    0.000    0.002    0.000 text.py:1044(set_fontsize)
      311    0.000    0.000    0.001    0.000 lines.py:1328(set_solid_joinstyle)
      117    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
       10    0.000    0.000    0.000    0.000 arraysetops.py:519(in1d)
      144    0.000    0.000    0.001    0.000 _mathtext.py:161(render_glyph)
      361    0.000    0.000    0.003    0.000 fromnumeric.py:3730(round_)
      191    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       96    0.000    0.000    0.003    0.000 basic.py:11(c2c)
      342    0.000    0.000    0.000    0.000 backend_bases.py:907(set_capstyle)
       17    0.000    0.000    0.016    0.001 backend_bases.py:1326(__init__)
       53    0.000    0.000    0.000    0.000 axis.py:872(_translate_tick_kw)
       25    0.000    0.000    0.004    0.000 spines.py:34(__init__)
        7    0.000    0.000    0.004    0.001 figure.py:220(_get_draw_artists)
        6    0.000    0.000    0.000    0.000 {built-in method raise_}
       78    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
       14    0.000    0.000    0.228    0.016 _mathtext.py:569(__init__)
       65    0.000    0.000    0.001    0.000 backend_pdf.py:480(__init__)
       44    0.000    0.000    0.006    0.000 path.py:494(contains_point)
      540    0.000    0.000    0.000    0.000 {method 'get_char_index' of 'matplotlib.ft2font.FT2Font' objects}
      244    0.000    0.000    0.001    0.000 artist.py:1094(set_zorder)
       98    0.000    0.000    0.011    0.000 axis.py:742(_set_scale)
      429    0.000    0.000    0.000    0.000 backend_bases.py:1015(get_hatch_path)
       54    0.000    0.000    0.016    0.000 _mathtext.py:2393(symbol)
      210    0.000    0.000    0.000    0.000 spines.py:556(__getitem__)
      311    0.000    0.000    0.000    0.000 lines.py:1188(set_markeredgewidth)
       38    0.000    0.000    0.004    0.000 colors.py:1128(process_value)
        6    0.000    0.000    0.000    0.000 {built-in method size}
       76    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
      788    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      361    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(around)
  216/208    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      432    0.000    0.000    0.000    0.000 spines.py:549(__getattr__)
     1241    0.000    0.000    0.000    0.000 backend_pdf.py:394(pdfRepr)
      123    0.000    0.000    0.000    0.000 patches.py:760(get_path)
      634    0.000    0.000    0.000    0.000 {built-in method math.sin}
      126    0.000    0.000    0.012    0.000 fromnumeric.py:2046(clip)
       88    0.000    0.000    0.001    0.000 pyparsing.py:1860(resetCache)
      249    0.000    0.000    0.000    0.000 text.py:1254(set_usetex)
      311    0.000    0.000    0.000    0.000 lines.py:1231(set_markersize)
       13    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      342    0.000    0.000    0.000    0.000 backend_bases.py:902(set_antialiased)
        9    0.000    0.000    0.089    0.010 image.py:616(draw)
      766    0.000    0.000    0.000    0.000 cycler.py:227(<genexpr>)
     2071    0.000    0.000    0.000    0.000 transforms.py:1789(get_affine)
     1176    0.000    0.000    0.000    0.000 _base.py:771(<genexpr>)
      778    0.000    0.000    0.000    0.000 generic.py:30(_check)
       43    0.000    0.000    0.001    0.000 _base.py:855(get_xaxis_text1_transform)
       98    0.000    0.000    0.006    0.000 ticker.py:2890(__init__)
      101    0.000    0.000    0.004    0.000 backend_pdf.py:1776(writePath)
      704    0.000    0.000    0.001    0.000 re.py:270(escape)
      116    0.000    0.000    0.000    0.000 ticker.py:2038(__init__)
       29    0.000    0.000    0.001    0.000 pathlib.py:657(_parse_args)
       65    0.000    0.000    0.002    0.000 backend_pdf.py:519(_writeHeader)
       45    0.000    0.000    0.002    0.000 transforms.py:680(<listcomp>)
      132    0.000    0.000    0.003    0.000 patches.py:352(_set_facecolor)
      232    0.000    0.000    0.000    0.000 ticker.py:2049(closeto)
      161    0.000    0.000    0.002    0.000 text.py:1130(set_position)
        3    0.000    0.000    0.000    0.000 {built-in method setPalette}
      260    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
      132    0.000    0.000    0.001    0.000 patches.py:326(_set_edgecolor)
       26    0.000    0.000    0.000    0.000 ntpath.py:450(normpath)
       92    0.000    0.000    0.018    0.000 _mathtext.py:1154(_update_metrics)
      376    0.000    0.000    0.000    0.000 {built-in method math.log10}
      191    0.000    0.000    0.000    0.000 _collections_abc.py:760(__iter__)
       54    0.000    0.000    0.001    0.000 _base.py:3425(_validate_converted_limits)
      311    0.000    0.000    0.001    0.000 lines.py:496(set_pickradius)
      115    0.000    0.000    0.002    0.000 backend_pdf.py:830(fontName)
      107    0.000    0.000    0.001    0.000 artist.py:952(set_alpha)
      355    0.000    0.000    0.000    0.000 font_manager.py:1109(get_default_size)
      203    0.000    0.000    0.003    0.000 transforms.py:2729(get_transformed_points_and_affine)
        8    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_dtype}
       50    0.000    0.000    0.001    0.000 __init__.py:200(connect)
       26    0.000    0.000    0.004    0.000 ntpath.py:625(realpath)
       11    0.000    0.000    0.001    0.000 figure.py:2605(set_size_inches)
      102    0.000    0.000    0.000    0.000 axis.py:200(_set_labelrotation)
       64    0.000    0.000    0.021    0.000 axis.py:1258(get_majorticklocs)
        3    0.000    0.000    0.000    0.000 {built-in method setWindowTitle}
       43    0.000    0.000    0.072    0.002 axis.py:2054(_get_tick)
      466    0.000    0.000    0.000    0.000 text.py:25(_wrap_text)
      246    0.000    0.000    0.000    0.000 pyparsing.py:2890(parseImpl)
     1418    0.000    0.000    0.000    0.000 artist.py:1109(sticky_edges)
        3    0.000    0.000    0.000    0.000 {built-in method setMouseTracking}
       38    0.000    0.000    0.001    0.000 transforms.py:2245(__init__)
      104    0.000    0.000    0.002    0.000 _mathtext.py:1302(__init__)
        7    0.000    0.000    0.000    0.000 _layoutgrid.py:145(hard_constraints)
        6    0.000    0.000    0.006    0.001 legend.py:835(<listcomp>)
       59    0.000    0.000    0.001    0.000 _base.py:957(get_yaxis_text2_transform)
      203    0.000    0.000    0.002    0.000 markers.py:346(get_transform)
       15    0.000    0.000    0.016    0.001 backend_bases.py:1916(motion_notify_event)
        3    0.000    0.000    0.000    0.000 {built-in method setAlignment}
  171/153    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.generic' objects}
       14    0.000    0.000    0.468    0.033 mathtext.py:454(_parse_cached)
      851    0.000    0.000    0.000    0.000 artist.py:597(get_gid)
      385    0.000    0.000    0.002    0.000 _methods.py:42(_amin)
       68    0.000    0.000    0.000    0.000 core.py:3213(__getitem__)
       29    0.000    0.000    0.000    0.000 colors.py:214(_to_rgba_no_colorcycle)
       28    0.000    0.000    0.064    0.002 axis.py:1378(grid)
        3    0.000    0.000    0.000    0.000 arrayprint.py:896(fillFormat)
     1115    0.000    0.000    0.000    0.000 path.py:213(codes)
      311    0.000    0.000    0.000    0.000 lines.py:1033(set_antialiased)
      252    0.000    0.000    0.000    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
        3    0.000    0.000    0.001    0.000 backend_bases.py:2900(__init__)
       98    0.000    0.000    0.000    0.000 scale.py:621(scale_factory)
       31    0.000    0.000    0.002    0.000 _base.py:2303(_process_unit_info)
       57    0.000    0.000    0.000    0.000 offsetbox.py:133(_get_aligned_offsets)
      179    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(nonzero)
        1    0.000    0.000    0.000    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
       56    0.000    0.000    0.001    0.000 _mathtext.py:227(__init__)
      101    0.000    0.000    0.000    0.000 backend_pdf.py:2412(paint)
        1    0.000    0.000    0.000    0.000 {pandas._libs.parsers.sanitize_objects}
      345    0.000    0.000    0.000    0.000 backend_bases.py:984(set_linewidth)
      311    0.000    0.000    0.000    0.000 lines.py:1173(set_markeredgecolor)
        8    0.000    0.000    0.003    0.000 backend_agg.py:411(get_renderer)
     1019    0.000    0.000    0.000    0.000 __init__.py:1805(<listcomp>)
      222    0.000    0.000    0.002    0.000 lines.py:717(_get_transformed_path)
      190    0.000    0.000    0.000    0.000 common.py:1470(is_extension_array_dtype)
       12    0.000    0.000    0.002    0.000 _base.py:3442(set_xlim)
      755    0.000    0.000    0.000    0.000 backend_pdf.py:380(pdfRepr)
        1    0.000    0.000    0.000    0.000 fractions.py:60(Fraction)
        1    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
      126    0.000    0.000    0.011    0.000 {method 'clip' of 'numpy.ndarray' objects}
       82    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
       15    0.000    0.000    0.002    0.000 _base.py:3769(set_ylim)
       50    0.000    0.000    0.000    0.000 weakref.py:44(__new__)
        3    0.000    0.000    0.000    0.000 {built-in method setAttribute}
       61    0.000    0.000    0.000    0.000 mathtext.py:169(get_hinting_type)
      712    0.000    0.000    0.001    0.000 pyparsing.py:5541(<genexpr>)
      347    0.000    0.000    0.000    0.000 transforms.py:276(y0)
        6    0.000    0.000    0.002    0.000 _base.py:2692(handle_single_axis)
        3    0.000    0.000    0.002    0.001 figure.py:2176(__init__)
       56    0.000    0.000    0.000    0.000 {method 'addEditVariable' of 'kiwisolver.Solver' objects}
      126    0.000    0.000    0.012    0.000 <__array_function__ internals>:2(clip)
       82    0.000    0.000    0.000    0.000 _ufunc_config.py:131(geterr)
      261    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       64    0.000    0.000    0.009    0.000 spines.py:287(draw)
      181    0.000    0.000    0.003    0.000 backend_pdf.py:2366(new_gc)
        4    0.000    0.000    0.051    0.013 backend_pdf.py:1068(embedTTF)
       63    0.000    0.000    0.012    0.000 backend_pdf.py:2003(draw_markers)
        4    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
    51/37    0.000    0.000    0.080    0.002 pyparsing.py:1901(parseString)
  305/287    0.000    0.000    0.002    0.000 {method 'view' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.046    0.015 legend.py:591(draw)
       48    0.000    0.000    0.000    0.000 {method 'draw_glyph_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
  530/258    0.000    0.000    0.001    0.000 abc.py:100(__subclasscheck__)
        9    0.000    0.000    0.002    0.000 transforms.py:686(intersection)
       81    0.000    0.000    0.000    0.000 patches.py:393(set_linewidth)
       99    0.000    0.000    0.004    0.000 _backend.py:17(__ua_function__)
      106    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
        3    0.000    0.000    0.002    0.001 spectral.py:1581(_spectral_helper)
       14    0.000    0.000    0.000    0.000 transforms.py:386(size)
       26    0.000    0.000    0.000    0.000 transforms.py:1702(_set)
       82    0.000    0.000    0.000    0.000 pathlib.py:145(splitroot)
        3    0.000    0.000    0.000    0.000 {built-in method setAllowedAreas}
       29    0.000    0.000    0.002    0.000 __init__.py:528(_get_data_path)
       32    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
      311    0.000    0.000    0.000    0.000 lines.py:541(set_markevery)
       94    0.000    0.000    0.001    0.000 qt_compat.py:203(_devicePixelRatioF)
      123    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedWriter' objects}
        6    0.000    0.000    0.009    0.001 legend.py:1019(_find_best_position)
     10/7    0.000    0.000    0.002    0.000 gridspec.py:732(get_position)
       17    0.000    0.000    0.015    0.001 backend_bases.py:2000(<listcomp>)
       30    0.000    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     13/5    0.000    0.000    0.437    0.087 deprecation.py:459(wrapper)
      116    0.000    0.000    0.000    0.000 ticker.py:2059(le)
       50    0.000    0.000    0.000    0.000 __init__.py:112(_weak_or_strong_ref)
       56    0.000    0.000    0.000    0.000 enum.py:75(__setitem__)
      135    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(diff)
      120    0.000    0.000    0.002    0.000 backend_pdf.py:2085(_setup_textpos)
      109    0.000    0.000    0.000    0.000 backend_pdf.py:1787(reserveObject)
      384    0.000    0.000    0.000    0.000 backend_agg.py:282(points_to_pixels)
       44    0.000    0.000    0.001    0.000 transforms.py:259(frozen)
      203    0.000    0.000    0.000    0.000 lines.py:923(get_markeredgecolor)
       73    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      721    0.000    0.000    0.000    0.000 {built-in method math.radians}
      107    0.000    0.000    0.008    0.000 lines.py:1016(get_path)
       59    0.000    0.000    0.001    0.000 markers.py:683(_set_tickleft)
        6    0.000    0.000    0.016    0.003 _base.py:742(_init_axis)
    36/24    0.000    0.000    0.063    0.003 axis.py:596(__get__)
       48    0.000    0.000    0.000    0.000 patches.py:413(set_linestyle)
       65    0.000    0.000    0.003    0.000 backend_pdf.py:530(end)
        5    0.000    0.000    0.443    0.089 backend_agg.py:399(draw)
        2    0.000    0.000    0.000    0.000 backend_pdf.py:1805(writeXref)
      578    0.000    0.000    0.000    0.000 artist.py:706(get_path_effects)
      747    0.000    0.000    0.000    0.000 font_manager.py:874(set_file)
      842    0.000    0.000    0.000    0.000 backend_bases.py:175(open_group)
       43    0.000    0.000    0.001    0.000 markers.py:703(_set_tickdown)
  432/408    0.000    0.000    0.001    0.000 spines.py:200(_ensure_position_is_set)
       68    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
    67/60    0.000    0.000    0.071    0.001 pyparsing.py:4779(parseImpl)
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
       50    0.000    0.000    0.000    0.000 hatch.py:189(_validate_hatch_pattern)
       14    0.000    0.000    0.000    0.000 _mathtext.py:152(set_canvas_size)
     15/3    0.000    0.000    0.015    0.005 offsetbox.py:356(draw)
      559    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      303    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
       14    0.000    0.000    0.067    0.005 _mathtext.py:347(__init__)
       30    0.000    0.000    0.030    0.001 sre_compile.py:759(compile)
      191    0.000    0.000    0.000    0.000 base.py:411(find)
      681    0.000    0.000    0.000    0.000 path.py:244(should_simplify)
      256    0.000    0.000    0.000    0.000 {built-in method math.floor}
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       41    0.000    0.000    0.003    0.000 pyparsing.py:1518(setParseAction)
       28    0.000    0.000    0.003    0.000 _mathtext.py:2347(non_math)
       14    0.000    0.000    0.064    0.005 _base.py:3025(grid)
       30    0.000    0.000    0.016    0.001 sre_parse.py:937(parse)
      116    0.000    0.000    0.000    0.000 ticker.py:1731(raise_if_exceeds)
       94    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      245    0.000    0.000    0.000    0.000 transforms.py:2271(get_matrix)
       43    0.000    0.000    0.001    0.000 _base.py:881(get_xaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
       73    0.000    0.000    0.000    0.000 patches.py:475(set_capstyle)
        3    0.000    0.000    0.001    0.000 patches.py:3782(get_path)
    13/10    0.000    0.000    0.001    0.000 inspect.py:2218(_signature_from_callable)
      792    0.000    0.000    0.000    0.000 fromnumeric.py:2263(_any_dispatcher)
        6    0.000    0.000    0.000    0.000 {built-in method setCursor}
       39    0.000    0.000    0.001    0.000 _base.py:1089(_set_artist_props)
       48    0.000    0.000    0.000    0.000 ticker.py:832(<genexpr>)
       24    0.000    0.000    0.000    0.000 generic.py:5411(__finalize__)
      108    0.000    0.000    0.000    0.000 _mathtext.py:1241(__init__)
       12    0.000    0.000    0.029    0.002 axis.py:917(set_clip_path)
       15    0.000    0.000    0.001    0.000 backend_qt5.py:759(set_message)
      116    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(ptp)
      676    0.000    0.000    0.000    0.000 axis.py:573(formatter)
       20    0.000    0.000    0.028    0.001 pyparsing.py:3294(__init__)
       44    0.000    0.000    0.000    0.000 patches.py:124(_process_radius)
     76/6    0.000    0.000    0.001    0.000 pyparsing.py:4031(streamline)
      347    0.000    0.000    0.000    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
       64    0.000    0.000    0.070    0.001 axis.py:1066(_get_tick_bboxes)
       59    0.000    0.000    0.001    0.000 axis.py:521(apply_tickdir)
      192    0.000    0.000    0.001    0.000 base.py:254(is_dtype)
       93    0.000    0.000    0.000    0.000 patches.py:282(get_patch_transform)
       46    0.000    0.000    0.000    0.000 figure.py:69(as_list)
       13    0.000    0.000    0.000    0.000 inspect.py:2772(__init__)
      199    0.000    0.000    0.000    0.000 axis.py:566(locator)
      112    0.000    0.000    0.001    0.000 transforms.py:810(unit)
       29    0.000    0.000    0.001    0.000 pathlib.py:1038(__new__)
      584    0.000    0.000    0.000    0.000 backend_bases.py:988(set_url)
       15    0.000    0.000    0.017    0.001 backend_qt5.py:320(mouseMoveEvent)
        1    0.000    0.000    0.005    0.005 backend_ps.py:1(<module>)
   112/67    0.000    0.000    0.001    0.000 transforms.py:2355(__eq__)
       87    0.000    0.000    0.000    0.000 spines.py:134(get_patch_transform)
      194    0.000    0.000    0.002    0.000 deprecation.py:327(wrapper)
        6    0.000    0.000    0.000    0.000 inspect.py:2124(_signature_from_function)
        8    0.000    0.000    0.000    0.000 nanfunctions.py:68(_replace_nan)
       45    0.000    0.000    0.002    0.000 transforms.py:681(<listcomp>)
        6    0.000    0.000    0.008    0.001 axis.py:2015(__init__)
      696    0.000    0.000    0.000    0.000 text.py:1268(get_usetex)
      190    0.000    0.000    0.000    0.000 pyparsing.py:2896(parseImpl)
       13    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:849(get_code)
     14/6    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
        3    0.000    0.000    0.001    0.000 spectral.py:1874(_fft_helper)
      320    0.000    0.000    0.000    0.000 backend_pdf.py:2549(<listcomp>)
       45    0.000    0.000    0.002    0.000 transforms.py:682(<listcomp>)
     1317    0.000    0.000    0.000    0.000 pyparsing.py:1643(postParse)
       65    0.000    0.000    0.001    0.000 backend_pdf.py:555(_flush)
     1019    0.000    0.000    0.000    0.000 __init__.py:1810(<listcomp>)
       21    0.000    0.000    0.004    0.000 patches.py:733(__init__)
      211    0.000    0.000    0.000    0.000 transforms.py:2616(get_matrix)
       45    0.000    0.000    0.002    0.000 transforms.py:683(<listcomp>)
        7    0.000    0.000    0.002    0.000 figure.py:3089(init_layoutgrid)
      145    0.000    0.000    0.000    0.000 artist.py:611(get_snap)
       10    0.000    0.000    0.001    0.000 _base.py:1330(_set_title_offset_trans)
      581    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       18    0.000    0.000    0.001    0.000 backend_agg.py:179(draw_mathtext)
      106    0.000    0.000    0.000    0.000 core.py:582(filled)
       59    0.000    0.000    0.001    0.000 markers.py:689(_set_tickright)
      130    0.000    0.000    0.001    0.000 transforms.py:1850(inverted)
       41    0.000    0.000    0.003    0.000 pyparsing.py:1283(_trim_arity)
        4    0.000    0.000    0.052    0.013 backend_pdf.py:1623(_writeImg)
       48    0.000    0.000    0.000    0.000 patches.py:509(set_hatch)
       74    0.000    0.000    0.001    0.000 {method 'all' of 'numpy.ndarray' objects}
      244    0.000    0.000    0.000    0.000 _mathtext.py:37(get_unicode_index)
   100/50    0.000    0.000    0.001    0.000 transforms.py:2362(_iter_break_from_left_to_right)
        6    0.000    0.000    0.000    0.000 {built-in method addSeparator}
      122    0.000    0.000    0.000    0.000 _mathtext.py:274(<listcomp>)
       48    0.000    0.000    0.001    0.000 axis.py:1924(_get_ticks_position)
       96    0.000    0.000    0.000    0.000 mathtext.py:123(render_glyph)
       43    0.000    0.000    0.001    0.000 axis.py:454(apply_tickdir)
      151    0.000    0.000    0.000    0.000 common.py:1610(_is_dtype_type)
      123    0.000    0.000    0.000    0.000 path.py:726(unit_rectangle)
      101    0.000    0.000    0.000    0.000 backend_pdf.py:2386(stroke)
      154    0.000    0.000    0.000    0.000 _base.py:2760(_get_axis_list)
      116    0.000    0.000    0.000    0.000 ticker.py:2066(ge)
      9/4    0.000    0.000    0.001    0.000 base.py:250(__new__)
        3    0.000    0.000    0.000    0.000 colors.py:377(<setcomp>)
      306    0.000    0.000    0.000    0.000 pyparsing.py:4091(<genexpr>)
       12    0.000    0.000    0.003    0.000 colorbar.py:247(tick_values)
      160    0.000    0.000    0.000    0.000 backend_agg.py:265(get_canvas_width_height)
      412    0.000    0.000    0.000    0.000 backend_bases.py:819(get_clip_path)
        2    0.000    0.000    0.001    0.001 backend_pdf.py:613(__init__)
      610    0.000    0.000    0.000    0.000 markers.py:260(get_fillstyle)
       12    0.000    0.000    0.001    0.000 backend_bases.py:2057(get_width_height)
       18    0.000    0.000    0.000    0.000 deprecation.py:183(deprecate)
       41    0.000    0.000    0.002    0.000 traceback.py:200(extract_stack)
      584    0.000    0.000    0.000    0.000 fromnumeric.py:193(_reshape_dispatcher)
       52    0.000    0.000    0.000    0.000 inspect.py:2489(__init__)
      209    0.000    0.000    0.000    0.000 {method 'get_kerning' of 'matplotlib.ft2font.FT2Font' objects}
      138    0.000    0.000    0.001    0.000 _mathtext.py:1184(render)
      664    0.000    0.000    0.000    0.000 path.py:232(simplify_threshold)
      179    0.000    0.000    0.000    0.000 fromnumeric.py:1829(nonzero)
       64    0.000    0.000    0.000    0.000 backend_pdf.py:2344(<listcomp>)
       40    0.000    0.000    0.001    0.000 fromnumeric.py:2123(sum)
       72    0.000    0.000    0.000    0.000 offsetbox.py:320(<listcomp>)
      333    0.000    0.000    0.000    0.000 text.py:247(get_transform_rotates_text)
       15    0.000    0.000    0.001    0.000 colors.py:302(to_rgba_array)
       24    0.000    0.000    0.005    0.000 spines.py:423(linear_spine)
        2    0.000    0.000    0.054    0.027 backend_pdf.py:1678(writeImages)
        5    0.000    0.000    0.000    0.000 function_base.py:23(linspace)
       63    0.000    0.000    0.001    0.000 path.py:461(cleaned)
        3    0.000    0.000    2.603    0.868 backend_bases.py:3561(show)
       41    0.000    0.000    0.468    0.011 mathtext.py:427(parse)
      192    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       99    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
        6    0.000    0.000    0.009    0.001 legend.py:574(_findoffset)
      222    0.000    0.000    0.000    0.000 transforms.py:2756(get_affine)
       14    0.000    0.000    0.074    0.005 _mathtext.py:2266(parse)
        1    0.000    0.000    0.001    0.001 managers.py:1733(_form_blocks)
       48    0.000    0.000    0.004    0.000 core.py:6549(array)
       12    0.000    0.000    0.014    0.001 _base.py:3187(tick_params)
      842    0.000    0.000    0.000    0.000 backend_bases.py:182(close_group)
       15    0.000    0.000    0.001    0.000 backend_bases.py:3060(mouse_move)
        4    0.000    0.000    0.000    0.000 soundfile.py:735(seek)
       16    0.000    0.000    0.003    0.000 axis.py:2118(_update_offset_text_position)
       29    0.000    0.000    0.001    0.000 frame.py:2987(__getitem__)
      101    0.000    0.000    0.000    0.000 backend_pdf.py:2397(fill)
      164    0.000    0.000    0.000    0.000 traceback.py:285(line)
       29    0.000    0.000    0.001    0.000 pathlib.py:677(_from_parts)
      233    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      318    0.000    0.000    0.000    0.000 _mathtext.py:1058(__init__)
        6    0.000    0.000    0.142    0.024 figure.py:658(add_subplot)
        3    0.000    0.000    0.132    0.044 backend_qt5.py:594(_get_toolbar)
       56    0.000    0.000    0.000    0.000 {method 'addConstraint' of 'kiwisolver.Solver' objects}
        6    0.000    0.000    0.002    0.000 legend.py:1034(<listcomp>)
       54    0.000    0.000    0.002    0.000 transforms.py:1947(clear)
       94    0.000    0.000    0.000    0.000 core.py:1310(_replace_dtype_fields)
      249    0.000    0.000    0.000    0.000 text.py:540(set_wrap)
        8    0.000    0.000    0.000    0.000 gridspec.py:227(__getitem__)
      196    0.000    0.000    0.000    0.000 core.py:3421(shape)
      116    0.000    0.000    0.000    0.000 _mathtext.py:1088(__init__)
      149    0.000    0.000    0.000    0.000 backend_pdf.py:2428(linewidth_cmd)
      809    0.000    0.000    0.000    0.000 fromnumeric.py:2633(_amax_dispatcher)
        3    0.000    0.000    0.000    0.000 {built-in method setCentralWidget}
        3    0.000    0.000    2.534    0.845 backend_qt5.py:1019(mainloop)
       10    0.000    0.000    0.007    0.001 _base.py:2163(add_patch)
       26    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      412    0.000    0.000    0.000    0.000 backend_bases.py:1022(get_hatch_color)
       15    0.000    0.000    0.001    0.000 _base.py:2265(update_datalim)
    25/23    0.000    0.000    0.002    0.000 series.py:238(__init__)
       32    0.000    0.000    0.001    0.000 _base.py:993(get_position)
      553    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
        6    0.000    0.000    0.005    0.001 axis.py:2286(__init__)
        3    0.000    0.000    0.122    0.041 gridspec.py:264(subplots)
      197    0.000    0.000    0.000    0.000 axis.py:577(formatter)
       31    0.000    0.000    0.000    0.000 pyparsing.py:3370(__str__)
        2    0.000    0.000    0.001    0.000 _base.py:2045(add_collection)
      189    0.000    0.000    0.000    0.000 path.py:345(__len__)
