,rd,alpha,Fs,x,y,z,Node 1,Node 2,Node 3,Node 4,Node 5
0,5.704736228175525,1.0,16000.0,,,,,,,,
1,5.643773384932745,1.0,16000.0,,,,,,,,
2,6.2668159250106985,1.0,16000.0,,,,,,,,
Source 1,,,,2.888785359269229,5.232427930243816,3.2381426601130623,,,,,
Noise 1,,,,3.1471903948423203,4.415916957580358,1.5278968696733333,,,,,
Node 1,,,,2.567896936650247,5.355924033066775,3.571832035761183,,,,,
Node 2,,,,2.586157220968476,3.130209572579857,0.5932255936312087,,,,,
Node 3,,,,3.372066187223783,1.6734952445651181,4.032326163257166,,,,,
Node 4,,,,3.206872010569518,4.3994820126057546,5.6627512900830395,,,,,
Node 5,,,,0.6956583456925419,0.8017775171033719,3.108418609886309,,,,,
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-7.619791649703151e-06,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,5.3379592074336246e-05,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.00013515523004154143,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.00022400629747529424,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0002676434233411006,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0001985241908466372,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,5.2407222888945834e-05,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0005383513480293433,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.001278524090756175,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.002242419664245024,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.003339182323586851,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.004413549973279667,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.005247621077551246,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0055640094747808535,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.00501879306628179,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.003154264339371708,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0007824251569240235,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.008554002908225538,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.026920710008553412,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.1401308851730189,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.08699478889979176,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.034971793305387265,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.019846584322505637,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.011549561365019148,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.006044326633670562,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0022316686416048903,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0003175910641766806,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0018505615303997518,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0025723898514783544,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.002685141114736103,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.0023895896495321647,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0018729434662323493,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.001293441364444191,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0007679575398558254,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-0.000365945861911735,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.00011088430261712316,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,1.1424323097248139e-05,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,-3.971071096435605e-05,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,2.2086069569799813e-05,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
h_sn 1,,,,,,,0.0,0.0,0.0,0.0,0.0
